fid;arquivo;sword_node_id;sword_dist_out_original;pixels;validos;nodata;origem_x;origem_y;distancia_max_m;status;mensagem
22;62265300030221_2490466.txt;62265300030221;2490466.314643158;533;533;0;423286.0078701235;9052073.350164697;2585.8847615468094;OK;
23;62265300030161_2489275.txt;62265300030161;2489275.877447563;584;584;0;424336.0078701235;9053583.350164697;3611.675511448945;OK;
24;62265300030101_2488098.txt;62265300030101;2488098.054094212;706;706;0;425776.0078701235;9052463.350164697;3883.6065712170175;OK;
25;62265300030051_2487081.txt;62265300030051;2487081.8370859;711;711;0;426676.0078701235;9050193.350164697;6486.046561658342;OK;
26;62265300020911_2485286.txt;62265300020911;2485286.871621033;719;719;0;428736.0078701235;9055503.350164697;5853.520308327289;OK;
27;62265300020851_2484094.txt;62265300020851;2484094.177850419;652;652;0;429496.0078701235;9054533.350164697;5436.368273029339;OK;
28;62265300020821_2483506.txt;62265300020821;2483506.7434859406;1332;1332;0;430856.0078701235;9055003.350164697;8134.89397595322;OK;
29;62265300020771_2482482.txt;62265300020771;2482482.247187016;1594;1594;0;432286.0078701235;9053703.350164697;7650.653566852965;OK;
30;62265300020721_2481477.txt;62265300020721;2481477.2858330584;1342;1342;0;432876.0078701235;9053553.350164697;5222.738745141289;OK;
31;62265300020511_2477274.txt;62265300020511;2477274.9979491164;1736;1736;0;435186.0078701235;9049783.350164697;10617.122962460217;OK;
32;62265300020471_2476470.txt;62265300020471;2476470.7021762794;1965;1965;0;436306.0078701235;9050613.350164697;10617.287789261436;OK;
33;62265300020421_2475460.txt;62265300020421;2475460.754907175;2005;2005;0;436866.0078701235;9050703.350164697;10990.45494963698;OK;
34;62265300020331_2473661.txt;62265300020331;2473661.9329068577;2042;2042;0;438006.0078701235;9047103.350164697;14660.320596767317;OK;
35;62265300020251_2472060.txt;62265300020251;2472060.3019427974;2187;2187;0;439996.0078701235;9047743.350164697;15476.359391019581;OK;
36;62265300020171_2470468.txt;62265300020171;2470468.218241262;2190;2190;0;441296.0078701235;9048973.350164697;15499.912902981101;OK;
37;62265300010891_2465850.txt;62265300010891;2465850.125438301;1822;1822;0;441106.0078701235;9053873.350164697;11792.357694710587;OK;
38;62265300010801_2464057.txt;62265300010801;2464057.539290335;1652;1652;0;440346.0078701235;9055493.350164697;10294.683093713958;OK;
39;62265300010731_2462626.txt;62265300010731;2462626.6039927667;1435;1435;0;439606.0078701235;9056383.350164697;9277.413432633042;OK;
40;62265300010671_2461447.txt;62265300010671;2461447.013846172;1433;1433;0;439616.0078701235;9056503.350164697;9234.8578765458;OK;
41;62265300010631_2460639.txt;62265300010631;2460639.1688879817;1398;1398;0;439906.0078701235;9057033.350164697;9235.799911215054;OK;
42;62265300010611_2460253.txt;62265300010611;2460253.018033939;1324;1324;0;439936.0078701235;9057313.350164697;9149.781418154207;OK;
43;62265300010591_2459837.txt;62265300010591;2459837.9798576264;1108;1108;0;439916.0078701235;9057783.350164697;8404.2429760211;OK;
44;62265300010561_2459250.txt;62265300010561;2459250.8263228685;1074;1074;0;439966.0078701235;9058143.350164697;8456.003784294327;OK;
45;62265300010531_2458649.txt;62265300010531;2458649.318626349;832;832;0;440146.0078701235;9058523.350164697;6518.2896529687905;OK;
46;62265300010481_2457640.txt;62265300010481;2457640.981401631;887;887;0;440446.0078701235;9059213.350164697;6773.079063468845;OK;
47;62265300010461_2457251.txt;62265300010461;2457251.8103160206;889;889;0;440536.0078701235;9059683.350164697;6442.670253862136;OK;
48;62265300010441_2456838.txt;62265300010441;2456838.208246542;718;718;0;440406.0078701235;9060353.350164697;5181.167822026227;OK;
49;62265300010421_2456417.txt;62265300010421;2456417.803542312;615;615;0;440556.0078701235;9060653.350164697;4322.6149493101975;OK;
50;62265300010391_2455828.txt;62265300010391;2455828.1418259386;453;453;0;440376.0078701235;9061083.350164697;3197.2488173428105;OK;
51;62265300010331_2454573.txt;62265300010331;2454573.6827802835;411;411;0;440586.0078701235;9061263.350164697;2928.3613165045053;OK;
52;62265300010281_2453614.txt;62265300010281;2453614.9202471473;310;310;0;440996.0078701235;9061953.350164697;2257.432169523594;OK;
53;62265300010251_2453025.txt;62265300010251;2453025.088053229;407;407;0;441506.0078701235;9062163.350164697;2976.071235706565;OK;
54;62265300010181_2451638.txt;62265300010181;2451638.97916506;457;457;0;442906.0078701235;9063023.350164697;3248.0301722736504;OK;
55;62265300010101_2449999.txt;62265300010101;2449999.0326219858;457;457;0;444056.0078701235;9064043.350164697;3242.4836159956153;OK;
56;62265100060871_2447611.txt;62265100060871;2447611.3243189845;269;269;0;445676.0078701235;9066013.350164697;1903.943276465977;OK;
57;62265100060611_2442424.txt;62265100060611;2442424.5502393073;253;253;0;449786.0078701235;9068903.350164697;1796.2182495454165;OK;
58;62265100060361_2437464.txt;62265100060361;2437464.5438652458;330;330;0;453916.0078701235;9072083.350164697;2326.585480914037;OK;
59;62265100060111_2432492.txt;62265100060111;2432492.3227210427;282;282;0;455766.0078701235;9077043.350164697;2182.8879952943075;OK;
60;62265100050971_2429697.txt;62265100050971;2429697.18782973;372;372;0;457206.0078701235;9079633.350164697;2879.2360097775936;OK;
61;62265100050911_2428499.txt;62265100050911;2428499.3151213056;376;376;0;457506.0078701235;9080693.350164697;2858.548582760139;OK;
62;62265100050871_2427683.txt;62265100050871;2427683.9683372146;377;377;0;458006.0078701235;9081473.350164697;2900.6206232459976;OK;
63;62265100050811_2426506.txt;62265100050811;2426506.890205136;359;359;0;458566.0078701235;9082423.350164697;2698.0363229578657;OK;
64;62265100050761_2425504.txt;62265100050761;2425504.8172570015;345;345;0;459106.0078701235;9083153.350164697;2615.6452358834904;OK;
65;62265100050701_2424306.txt;62265100050701;2424306.611339229;369;369;0;459916.0078701235;9084163.350164697;2784.097699435133;OK;
66;62265100050661_2423498.txt;62265100050661;2423498.8563341657;470;470;0;460706.0078701235;9084653.350164697;3462.9611606253975;OK;
67;62265100050611_2422509.txt;62265100050611;2422509.237285922;374;374;0;460846.0078701235;9085583.350164697;2795.4427198567314;OK;
68;62265100050571_2421721.txt;62265100050571;2421721.5934020476;398;398;0;461366.0078701235;9086453.350164697;3067.8494096027594;OK;
69;62265100050511_2420520.txt;62265100050511;2420520.8005676414;345;345;0;461356.0078701235;9087733.350164697;2648.018126826174;OK;
70;62265100050441_2419134.txt;62265100050441;2419134.4904159065;263;263;0;461066.0078701235;9089333.350164697;2216.167863678201;OK;
71;62265100050411_2418535.txt;62265100050411;2418535.8055763994;238;238;0;461206.0078701235;9089873.350164697;2058.275977608445;OK;
72;62265100050371_2417741.txt;62265100050371;2417741.244191055;261;261;0;461536.0078701235;9090643.350164697;2302.3466289853054;OK;
73;62265100050121_2412761.txt;62265100050121;2412761.6146273497;331;331;0;462966.0078701235;9094433.350164697;2354.1028014935964;OK;
74;62265100040561_2409167.txt;62265100040561;2409167.0847215834;200;200;0;465626.0078701235;9097363.350164697;1741.0628937519748;OK;
75;62265100040511_2408178.txt;62265100040511;2408178.994388091;449;449;0;466976.0078701235;9097213.350164697;3424.616766880639;OK;
76;62265100040461_2407172.txt;62265100040461;2407172.091426174;418;418;0;467606.0078701235;9096303.350164697;3051.311193569086;OK;
77;62265100040411_2406173.txt;62265100040411;2406173.81699182;381;381;0;468476.0078701235;9095253.350164697;2693.287953413077;OK;
78;62265100040361_2405153.txt;62265100040361;2405153.3531608246;299;299;0;468926.0078701235;9094333.350164697;2185.497654997598;OK;
79;62265100040311_2404172.txt;62265100040311;2404172.5117260907;368;368;0;469536.0078701235;9093823.350164697;2605.5517649818435;OK;
80;62265100040261_2403128.txt;62265100040261;2403128.56021981;347;347;0;470266.0078701235;9093133.350164697;2466.2927644543743;OK;
