fid;arquivo;sword_node_id;sword_dist_out_original;pixels;validos;nodata;origem_x;origem_y;distancia_max_m;status;mensagem
213;62263900010301_2049865.txt;62263900010301;2049865.4547395376;1157;1157;0;618846.0078701235;9310403.350164697;5252.237618387043;OK;
214;62263900010251_2048863.txt;62263900010251;2048863.346495532;1156;1156;0;619796.0078701235;9310293.350164697;6065.978898743384;OK;
215;62263900010191_2047678.txt;62263900010191;2047678.2301807792;1245;1245;0;620796.0078701235;9310273.350164697;6604.642306741524;OK;
216;62263900010151_2046889.txt;62263900010151;2046889.1453351988;1433;1433;0;622606.0078701235;9313773.350164697;8329.855941131274;OK;
217;62263900010111_2046103.txt;62263900010111;2046103.0335575538;1599;1599;0;623556.0078701235;9314563.350164697;9071.890651898313;OK;
218;62263900010061_2045112.txt;62263900010061;2045112.821282821;1530;1530;0;624146.0078701235;9305943.350164697;12634.290640950128;OK;
219;62263700020531_2043936.txt;62263700020531;2043936.6229418414;1637;1637;0;625406.0078701235;9305743.350164697;13199.64393459157;OK;
220;62263700020471_2042707.txt;62263700020471;2042707.4432593416;1582;1582;0;626096.0078701235;9306973.350164697;12181.165789857718;OK;
221;62263700020421_2041715.txt;62263700020421;2041715.7024598105;1493;1493;0;626826.0078701235;9307763.350164697;11628.662863803387;OK;
222;62263700020381_2040916.txt;62263700020381;2040916.819554263;1512;1512;0;627896.0078701235;9308553.350164697;11297.0836944762;OK;
223;62263700020261_2038499.txt;62263700020261;2038499.73112085;1492;1492;0;629806.0078701235;9310653.350164697;10581.138880101707;OK;
224;62263700020181_2036917.txt;62263700020181;2036917.8907481693;1306;1306;0;629716.0078701235;9312403.350164697;9228.93818377824;OK;
225;62263700010511_2032959.txt;62263700010511;2032959.2665042316;703;703;0;630086.0078701235;9316493.350164697;5140.6030774608535;OK;
226;62263700010281_2028367.txt;62263700010281;2028367.61686103;349;349;0;630856.0078701235;9320313.350164697;2840.1584462842916;OK;
227;62263700010221_2027168.txt;62263700010221;2027168.8078828133;602;602;0;631486.0078701235;9320583.350164697;4197.618372363071;OK;
228;62263700010191_2026571.txt;62263700010191;2026571.661937385;700;700;0;631886.0078701235;9320613.350164697;4974.143142290942;OK;
229;62263700010161_2025951.txt;62263700010161;2025951.1126616597;725;725;0;632186.0078701235;9320703.350164697;5139.416309270928;OK;
230;62263700010121_2025176.txt;62263700010121;2025176.822323989;744;744;0;632656.0078701235;9320713.350164697;5404.377855035675;OK;
231;62263700010091_2024557.txt;62263700010091;2024557.957232493;796;796;0;633456.0078701235;9320583.350164697;6010.931708146417;OK;
232;62263700010051_2023769.txt;62263700010051;2023769.4944838155;760;760;0;633976.0078701235;9320523.350164697;5930.303533546997;OK;
233;62263500050891_2022562.txt;62263500050891;2022562.7410282178;858;858;0;635296.0078701235;9320163.350164697;6651.450969525371;OK;
234;62263500050731_2019363.txt;62263500050731;2019363.6780988516;478;478;0;637376.0078701235;9325443.350164697;3395.2466773417214;OK;
235;62263500050651_2017751.txt;62263500050651;2017751.5245149555;389;389;0;637536.0078701235;9326693.350164697;2746.434051638597;OK;
236;62263500050401_2012730.txt;62263500050401;2012730.9905821166;388;388;0;642116.0078701235;9329403.350164697;2729.761894378336;OK;
237;62263500050141_2007507.txt;62263500050141;2007507.0618236244;295;295;0;645616.0078701235;9332593.350164697;2071.931466048045;OK;
238;62263500040761_2002482.txt;62263500040761;2002482.6595473527;346;346;0;648626.0078701235;9336873.350164697;2614.517163837331;OK;
239;62263500040521_1997674.txt;62263500040521;1997674.3543701642;253;253;0;646376.0078701235;9342573.350164697;1828.4966502567074;OK;
240;62263500040301_1993253.txt;62263500040301;1993253.8655262636;663;663;0;646256.0078701235;9345843.350164697;5454.631059934301;OK;
241;62263500040181_1990796.txt;62263500040181;1990796.5295634635;730;730;0;647436.0078701235;9347203.350164697;5288.336222291468;OK;
242;62263500040081_1988808.txt;62263500040081;1988808.6001678596;665;665;0;648176.0078701235;9347583.350164697;4928.691509924312;OK;
243;62263500030531_1987017.txt;62263500030531;1987017.0650505943;716;716;0;649246.0078701235;9347983.350164697;5751.286812531609;OK;
244;62263500030291_1982242.txt;62263500030291;1982242.0914438616;927;927;0;653596.0078701235;9349563.350164697;5528.806381127847;OK;
245;62263500030061_1977640.txt;62263500030061;1977640.5499192968;1126;1126;0;659516.0078701235;9347023.350164697;8603.871221723393;OK;
246;62263500020881_1976263.txt;62263500020881;1976263.0461072912;905;905;0;661076.0078701235;9349973.350164697;6334.303434474859;OK;
247;62263500020771_1974063.txt;62263500020771;1974063.7593002322;239;239;0;659896.0078701235;9353373.350164697;1950.2820308868152;OK;
248;62263500020521_1969033.txt;62263500020521;1969033.8023774226;345;345;0;664846.0078701235;9354363.350164697;2521.626459252044;OK;
249;62263500020471_1968040.txt;62263500020471;1968040.3910209031;398;398;0;665906.0078701235;9353743.350164697;2816.895454219059;OK;
250;62263500020421_1967028.txt;62263500020421;1967028.2532871643;365;365;0;666446.0078701235;9353253.350164697;2615.8363863208265;OK;
251;62263500020371_1966009.txt;62263500020371;1966009.8269339257;378;378;0;667166.0078701235;9352653.350164697;2756.1748855977917;OK;
252;62263500020301_1964635.txt;62263500020301;1964635.049184655;318;318;0;667816.0078701235;9352073.350164697;2616.9638897011932;OK;
253;62263500020251_1963598.txt;62263500020251;1963598.6106867346;278;278;0;668616.0078701235;9351263.350164697;1989.0952717253138;OK;
254;62263500020201_1962591.txt;62263500020201;1962591.49840081;291;291;0;669756.0078701235;9349993.350164697;2258.9378034819815;OK;
255;62263500020171_1961994.txt;62263500020171;1961994.5775633664;354;354;0;670666.0078701235;9350733.350164697;2518.1342299408902;OK;
256;62263500020121_1961019.txt;62263500020121;1961019.1714799518;349;349;0;671526.0078701235;9351613.350164697;2492.388412747901;OK;
257;62263500010771_1956190.txt;62263500010771;1956190.8108076793;510;510;0;674336.0078701235;9355333.350164697;3602.8460971848353;OK;
258;62263500010461_1949971.txt;62263500010461;1949971.0647149591;176;176;0;678076.0078701235;9359893.350164697;1528.953890737062;OK;
259;62263500010231_1945374.txt;62263500010231;1945374.9625967613;256;256;0;682266.0078701235;9356803.350164697;1833.4939323597446;OK;
260;62263500010181_1944346.txt;62263500010181;1944346.2393736106;321;321;0;682776.0078701235;9356493.350164697;2264.332131115045;OK;
261;62263500010121_1943164.txt;62263500010121;1943164.9890806882;397;397;0;683266.0078701235;9356333.350164697;2989.314302645341;OK;
262;62263500010071_1942148.txt;62263500010071;1942148.0732465682;500;500;0;683996.0078701235;9355003.350164697;2495.5159787106154;OK;
263;62263500010011_1940951.txt;62263500010011;1940951.6219328446;603;603;0;685106.0078701235;9354643.350164697;2552.6456863419176;OK;
264;62263300060661_1940380.txt;62263300060661;1940380.4907778038;620;620;0;686216.0078701235;9352123.350164697;5050.188115308181;OK;
265;62263300060611_1939409.txt;62263300060611;1939409.1592103767;553;553;0;687446.0078701235;9353913.350164697;3940.0507610943287;OK;
266;62263300060571_1938583.txt;62263300060571;1938583.9139208954;439;439;0;687866.0078701235;9355323.350164697;3164.7116772306445;OK;
267;62263300060531_1937819.txt;62263300060531;1937819.387434964;391;391;0;688306.0078701235;9356063.350164697;2991.6216338300537;OK;
268;62263300060481_1936795.txt;62263300060481;1936795.7709312155;233;233;0;688236.0078701235;9356993.350164697;1853.4832073693033;OK;
269;62263300060421_1935591.txt;62263300060421;1935591.8844663752;189;189;0;688436.0078701235;9358083.350164697;1499.1330828182;OK;
270;62263300060371_1934601.txt;62263300060371;1934601.4078051706;173;173;0;688826.0078701235;9359063.350164697;1359.779393872403;OK;
271;62263300060121_1929621.txt;62263300060121;1929621.3327534322;164;164;0;690866.0078701235;9363693.350164697;1478.681845428556;OK;
272;62263300050391_1924613.txt;62263300050391;1924613.05337899;290;290;0;692366.0078701235;9368773.350164697;2740.018248114417;OK;
273;62263300050131_1919382.txt;62263300050131;1919382.6796773528;348;348;0;692836.0078701235;9373003.350164697;2513.3443854752577;OK;
274;62263300040441_1914778.txt;62263300040441;1914778.3584889108;265;265;0;696786.0078701235;9373723.350164697;1954.7378340841515;OK;
275;62263300040181_1909562.txt;62263300040181;1909562.3272038496;249;249;0;701446.0078701235;9375363.350164697;1980.8079159777205;OK;
276;62263300030851_1904556.txt;62263300030851;1904556.086445332;285;285;0;706486.0078701235;9377753.350164697;2003.22240402807;OK;
277;62263300030591_1899328.txt;62263300030591;1899328.8020631692;281;281;0;709756.0078701235;9381673.350164697;1982.3723161908815;OK;
278;62263300030341_1894322.txt;62263300030341;1894322.6167419418;167;167;0;713816.0078701235;9383833.350164697;1321.9682295728594;OK;
279;62263300030091_1889308.txt;62263300030091;1889308.4833784357;271;271;0;718666.0078701235;9382743.350164697;2106.086417980041;OK;
280;62263300020641_1884520.txt;62263300020641;1884520.7735784533;190;190;0;723196.0078701235;9379483.350164697;1379.9275343292488;OK;
281;62263300020381_1879292.txt;62263300020381;1879292.9397225298;271;271;0;727756.0078701235;9381793.350164697;1991.2307751739877;OK;
282;62263300020131_1874293.txt;62263300020131;1874293.11666229;315;315;0;731866.0078701235;9384663.350164697;2266.384786394402;OK;
283;62263300010871_1869462.txt;62263300010871;1869462.0716141253;539;539;0;736106.0078701235;9387133.350164697;3832.088203577783;OK;
284;62263300010661_1865255.txt;62263300010661;1865255.1906889444;328;328;0;739516.0078701235;9389533.350164697;2382.120903732638;OK;
285;62263300010411_1860245.txt;62263300010411;1860245.3427130408;229;229;0;743926.0078701235;9391713.350164697;1660.903368652132;OK;
286;62263300010151_1855055.txt;62263300010151;1855055.67463566;308;308;0;748766.0078701235;9393503.350164697;2256.3022847127554;OK;
287;62263100050441_1849858.txt;62263100050441;1849858.1761341607;126;126;0;751846.0078701235;9397763.350164697;1116.4676439557038;OK;
288;62263100050191_1844811.txt;62263100050191;1844811.3190898872;222;222;0;750946.0078701235;9402633.350164697;2037.9646709401025;OK;
289;62263100050061_1842209.txt;62263100050061;1842209.2518547585;407;407;0;751776.0078701235;9404623.350164697;3416.7235767618076;OK;
290;62263100040441_1837389.txt;62263100040441;1837389.4409543835;512;512;0;753396.0078701235;9408983.350164697;3931.170309208188;OK;
291;62263100040281_1834222.txt;62263100040281;1834222.6905524775;446;446;0;754626.0078701235;9411183.350164697;3226.65461430256;OK;
292;62263100040081_1830234.txt;62263100040081;1830234.9317669182;165;165;0;757256.0078701235;9412803.350164697;1452.4806367039803;OK;
293;62263100030451_1825290.txt;62263100030451;1825290.3198196194;372;372;0;762576.0078701235;9411833.350164697;3004.0805581741647;OK;
294;62263100030201_1820316.txt;62263100030201;1820316.2979882217;213;213;0;766816.0078701235;9415183.350164697;1526.4337522473747;OK;
295;62263100020761_1815364.txt;62263100020761;1815364.2158658148;225;225;0;771126.0078701235;9417643.350164697;1624.0997506310996;OK;
296;62263100020511_1810327.txt;62263100020511;1810327.279555395;193;193;0;774596.0078701235;9421383.350164697;1353.6986370680884;OK;
297;62263100020271_1805513.txt;62263100020271;1805513.5552036692;200;200;0;777896.0078701235;9423963.350164697;1722.9045243425417;OK;
298;62263100020021_1800516.txt;62263100020021;1800516.9004635483;181;181;0;782746.0078701235;9425813.350164697;1397.8555004005243;OK;
299;62263100010381_1797101.txt;62263100010381;1797101.911133867;485;485;0;785836.0078701235;9428013.350164697;3415.3916320094245;OK;
300;62263100010151_1792482.txt;62263100010151;1792482.7633206765;198;198;0;787436.0078701235;9432453.350164697;1500.8331019803634;OK;
301;62263100010101_1791477.txt;62263100010101;1791477.3520558144;248;248;0;788026.0078701235;9433013.350164697;1769.6327302578916;OK;
302;62263100010011_1789682.txt;62263100010011;1789682.4853976292;455;455;0;790046.0078701235;9433203.350164697;3217.5922675193015;OK;
303;62261900070531_1786536.txt;62261900070531;1786536.177112472;350;350;0;792706.0078701235;9435053.350164697;2602.9214356180632;OK;
304;62261900070431_1784739.txt;62261900070431;1784739.4104675404;264;264;0;794406.0078701235;9436193.350164697;1882.1530224718713;OK;
305;62261900070131_1778469.txt;62261900070131;1778469.0052027688;292;292;0;799546.0078701235;9439523.350164697;2072.510554858527;OK;
306;62261900060701_1772052.txt;62261900060701;1772052.793035101;243;243;0;803056.0078701235;9444633.350164697;1734.4163283364235;OK;
307;62261900060401_1766042.txt;62261900060401;1766042.516844208;255;255;0;805956.0078701235;9450053.350164697;2004.8940121612413;OK;
308;62261900060161_1761216.txt;62261900060161;1761216.965195892;329;329;0;807916.0078701235;9454633.350164697;2516.227334721567;OK;
309;62261900050461_1756416.txt;62261900050461;1756416.0417609168;185;185;0;810946.0078701235;9457003.350164697;1511.0923201446033;OK;
310;62261900050201_1751278.txt;62261900050201;1751278.4306942353;241;241;0;815786.0078701235;9458603.350164697;2340.769104375739;OK;
311;62261900040681_1746312.txt;62261900040681;1746312.076633966;366;366;0;821096.0078701235;9456943.350164697;2751.817581163403;OK;
312;62261900040431_1741300.txt;62261900040431;1741300.0894521244;198;198;0;825376.0078701235;9455713.350164697;1525.0573759698354;OK;
313;62261900040181_1736248.txt;62261900040181;1736248.293593986;230;230;0;829926.0078701235;9457803.350164697;1708.3617883809038;OK;
314;62261900030921_1731209.txt;62261900030921;1731209.7028812098;355;355;0;834656.0078701235;9459623.350164697;2625.4523419784255;OK;
315;62261900030671_1726242.txt;62261900030671;1726242.6440651824;586;586;0;839506.0078701235;9461183.350164697;4285.440467443224;OK;
316;62261900030471_1722267.txt;62261900030471;1722267.686413904;299;299;0;842676.0078701235;9465213.350164697;2050.609665440988;OK;
317;62261900030361_1720070.txt;62261900030361;1720070.003746883;130;130;0;843006.0078701235;9467273.350164697;1185.1160280748886;OK;
318;62261900030121_1715293.txt;62261900030121;1715293.400113557;214;214;0;841846.0078701235;9472133.350164697;1718.4004189943623;OK;
319;62261900020901_1711268.txt;62261900020901;1711268.859346167;395;395;0;841676.0078701235;9475363.350164697;3270.0152904841284;OK;
320;62261900020821_1709686.txt;62261900020821;1709686.6679604033;467;467;0;842206.0078701235;9476863.350164697;3997.224036753507;OK;
321;62261900020771_1708676.txt;62261900020771;1708676.712937653;488;488;0;842486.0078701235;9477743.350164697;4070.737034002565;OK;
322;62261900020721_1707663.txt;62261900020721;1707663.1771887888;500;500;0;842876.0078701235;9478733.350164697;4089.0218879335926;OK;
323;62261900020531_1703836.txt;62261900020531;1703836.5454395574;272;272;0;842366.0078701235;9483163.350164697;2150.3720608304043;OK;
324;62261900020421_1701630.txt;62261900020421;1701630.7144387192;186;186;0;842016.0078701235;9485033.350164697;1715.72142260916;OK;
325;62261900020181_1696820.txt;62261900020181;1696820.7833509697;337;337;0;843506.0078701235;9489753.350164697;3073.7111119947494;OK;
326;62261900020051_1694205.txt;62261900020051;1694205.1481667575;616;616;0;844276.0078701235;9490973.350164697;4506.18463891572;OK;
327;62261900010981_1693019.txt;62261900010981;1693019.6603688984;669;669;0;845086.0078701235;9491693.350164697;4776.703884479339;OK;
328;62261900010791_1689225.txt;62261900010791;1689225.7937078555;635;635;0;847186.0078701235;9495103.350164697;4560.043859438196;OK;
329;62261900010611_1685654.txt;62261900010611;1685654.3231400722;531;531;0;849056.0078701235;9498683.350164697;4110.960958218893;OK;
330;62261900010451_1682439.txt;62261900010451;1682439.3189730886;799;799;0;850436.0078701235;9501553.350164697;6350.385815050925;OK;
331;62261900010401_1681463.txt;62261900010401;1681463.068140506;599;599;0;850736.0078701235;9502413.350164697;4354.365625438452;OK;
332;62261900010341_1680255.txt;62261900010341;1680255.4091257039;397;397;0;851226.0078701235;9503373.350164697;2834.25475213503;OK;
333;62261900010281_1679087.txt;62261900010281;1679087.212119645;334;334;0;851496.0078701235;9504133.350164697;2362.3928547132036;OK;
334;62261700150671_1673092.txt;62261700150671;1673092.7476977322;289;289;0;855176.0078701235;9508823.350164697;2039.7303743387263;OK;
335;62261700150421_1668093.txt;62261700150421;1668093.031848702;317;317;0;858496.0078701235;9512533.350164697;2244.504399639261;OK;
336;62261700150181_1663307.txt;62261700150181;1663307.0103982536;380;380;0;861726.0078701235;9516193.350164697;2700.0;OK;
337;62261700140461_1658689.txt;62261700140461;1658689.688517064;617;617;0;864456.0078701235;9517613.350164697;4588.431104419025;OK;
338;62261700140351_1656524.txt;62261700140351;1656524.1035262875;500;500;0;866436.0078701235;9517603.350164697;4487.538300672207;OK;
339;62261700140181_1653103.txt;62261700140181;1653103.1838549618;235;235;0;869726.0078701235;9519623.350164697;1654.6903033498443;OK;
340;62261700130891_1648931.txt;62261700130891;1648931.626013362;275;275;0;872326.0078701235;9517243.350164697;2150.5813167606566;OK;
341;62261700130701_1645137.txt;62261700130701;1645137.7799483677;494;494;0;875796.0078701235;9515243.350164697;1998.1241202688086;OK;
342;62261700130531_1641729.txt;62261700130531;1641729.487858092;498;498;0;879306.0078701235;9515203.350164697;3726.8351184349435;OK;
343;62261700130401_1639115.txt;62261700130401;1639115.696948917;450;450;0;882196.0078701235;9517253.350164697;3174.0195336512975;OK;
344;62261700130191_1634925.txt;62261700130191;1634925.9158262925;344;344;0;883146.0078701235;9521433.350164697;3151.2854520020874;OK;
345;62261700120531_1631151.txt;62261700120531;1631151.2344676263;569;569;0;885226.0078701235;9523133.350164697;4054.7503005733906;OK;
346;62261700120401_1628541.txt;62261700120401;1628541.807046072;642;642;0;886456.0078701235;9523783.350164697;4787.744771810628;OK;
347;62261700120191_1624390.txt;62261700120191;1624390.9320196302;478;478;0;890856.0078701235;9528913.350164697;3935.8480661732865;OK;
348;62261700120031_1621189.txt;62261700120031;1621189.2613780757;224;224;0;893346.0078701235;9525573.350164697;1694.4615663980107;OK;
349;62261700110311_1616277.txt;62261700110311;1616277.5626528575;240;240;0;897616.0078701235;9528513.350164697;1706.5169205138284;OK;
350;62261700110061_1611288.txt;62261700110061;1611288.1911526567;366;366;0;901986.0078701235;9531833.350164697;2674.1914665932204;OK;
351;62261700100791_1606337.txt;62261700100791;1606337.8190859037;321;321;0;903836.0078701235;9536753.350164697;2495.6161563830283;OK;
352;62261700100541_1601363.txt;62261700100541;1601363.7775408772;289;289;0;905086.0078701235;9541873.350164697;2687.452325158532;OK;
353;62261700100281_1596167.txt;62261700100281;1596167.5115392292;423;423;0;905786.0078701235;9546693.350164697;3684.8066435024784;OK;
354;62261700100061_1591785.txt;62261700100061;1591785.0838102235;619;619;0;907596.0078701235;9550223.350164697;4571.783021972937;OK;
355;62261700090341_1588997.txt;62261700090341;1588997.7273485686;362;362;0;908646.0078701235;9552923.350164697;2610.0766272276373;OK;
356;62261700090281_1587832.txt;62261700090281;1587832.0258061832;241;241;0;908806.0078701235;9554063.350164697;1860.9674903124987;OK;
357;62261700090031_1582862.txt;62261700090031;1582862.5185328624;232;232;0;910536.0078701235;9558553.350164697;1717.3526137634053;OK;
358;62261700080201_1577930.txt;62261700080201;1577930.802729267;187;187;0;914076.0078701235;9561163.350164697;1420.7744367069672;OK;
359;62261700070371_1573000.txt;62261700070371;1573000.897617892;254;254;0;918806.0078701235;9562723.350164697;1921.067411623028;OK;
360;62261700070111_1567838.txt;62261700070111;1567838.584932431;324;324;0;923516.0078701235;9564733.350164697;2439.8770460824453;OK;
361;62261700060691_1564669.txt;62261700060691;1564669.6252414724;542;542;0;926116.0078701235;9565483.350164697;3978.4670414620755;OK;
362;62261700060451_1559846.txt;62261700060451;1559846.6723826034;446;446;0;931196.0078701235;9566933.350164697;3455.0832117331124;OK;
363;62261700060211_1554996_fid363.txt;62261700060211;1554996.806358969;305;305;0;935046.0078701235;9570133.350164697;2144.78437144623;OK;
364;62261700060211_1554996_fid364.txt;62261700060211;1554996.806358969;387;387;0;935166.0078701235;9569773.350164697;2773.5897317375548;OK;
365;62261700050911_1550370.txt;62261700050911;1550370.0926400966;443;443;0;938866.0078701235;9573833.350164697;3219.0837205639746;OK;
366;62261700050671_1545593.txt;62261700050671;1545593.9174101737;190;190;0;939876.0078701235;9579093.350164697;1710.5846953600399;OK;
367;62261700050421_1540541.txt;62261700050421;1540541.4646843793;170;170;0;938416.0078701235;9584003.350164697;1252.3977004130916;OK;
368;62261700050171_1535548.txt;62261700050171;1535548.2279652818;303;303;0;936156.0078701235;9588403.350164697;2249.488830823572;OK;
369;62261700050041_1532952.txt;62261700050041;1532952.0553403532;383;383;0;935826.0078701235;9590473.350164697;3520.227265390688;OK;
370;62261700040651_1530531.txt;62261700040651;1530531.5264623505;212;212;0;935936.0078701235;9592093.350164697;1492.0120642943878;OK;
371;62261700040351_1524525.txt;62261700040351;1524525.5743608894;321;321;0;940576.0078701235;9595333.350164697;2292.4222996647018;OK;
372;62261700040091_1519345.txt;62261700040091;1519345.142052955;378;378;0;944856.0078701235;9597693.350164697;2823.065709472594;OK;
373;62261700030281_1514345.txt;62261700030281;1514345.7113309065;488;488;0;949606.0078701235;9599173.350164697;3665.4740484690383;OK;
374;62261700030121_1511162.txt;62261700030121;1511162.4248930088;823;823;0;952606.0078701235;9600063.350164697;5850.854638426766;OK;
375;62261700030011_1508985.txt;62261700030011;1508985.7155864057;1010;1010;0;956246.0078701235;9601783.350164697;7240.386730002756;OK;
376;62261700020031_1507814.txt;62261700020031;1507814.437743418;602;602;0;955856.0078701235;9605833.350164697;3995.409866334116;OK;
377;62261700010771_1507013.txt;62261700010771;1507013.2632609997;366;366;0;955236.0078701235;9606313.350164697;2491.7664417035558;OK;
